T Cv
1.321770 1.500544
1.320449 1.500560
1.319128 1.500604
1.317809 1.500611
1.316491 1.500569
1.315175 1.500541
1.313860 1.500564
1.312546 1.500599
1.311233 1.500613
1.309922 1.500617
1.308612 1.500584
1.307303 1.500549
1.305996 1.500534
1.304690 1.500486
1.303385 1.500518
1.302082 1.500549
1.300780 1.500591
1.299479 1.500589
1.298180 1.500580
1.296881 1.500585
1.295585 1.500574
1.294289 1.500552
1.292995 1.500568
1.291702 1.500589
1.290410 1.500591
1.289120 1.500556
1.287830 1.500527
1.286543 1.500523
1.285256 1.500518
1.283971 1.500496
1.282687 1.500501
1.281404 1.500517
1.280123 1.500537
1.278843 1.500518
1.277564 1.500500
1.276286 1.500488
1.275010 1.500484
1.273735 1.500521
1.272461 1.500568
1.271189 1.500569
1.269918 1.500548
1.268648 1.500534
1.267379 1.500549
1.266112 1.500564
1.264846 1.500547
1.263581 1.500572
1.262317 1.500615
1.261055 1.500609
1.259794 1.500574
1.258534 1.500549
1.257275 1.500549
1.256018 1.500544
1.254762 1.500562
1.253507 1.500576
1.252254 1.500571
1.251002 1.500577
1.249751 1.500577
1.248501 1.500577
1.247252 1.500579
1.246005 1.500542
1.244759 1.500568
1.243514 1.500579
1.242271 1.500530
1.241029 1.500546
1.239788 1.500578
1.238548 1.500538
1.237309 1.500500
1.236072 1.500515
1.234836 1.500516
1.233601 1.500549
1.232367 1.500570
1.231135 1.500574
1.229904 1.500556
1.228674 1.500551
1.227445 1.500527
1.226218 1.500520
1.224992 1.500531
1.223767 1.500533
1.222543 1.500535
1.221320 1.500537
1.220099 1.500553
1.218879 1.500584
1.217660 1.500604
1.216442 1.500629
1.215226 1.500640
1.214011 1.500586
1.212797 1.500586
1.211584 1.500645
1.210372 1.500622
1.209162 1.500575
1.207953 1.500585
1.206745 1.500620
1.205538 1.500577
1.204333 1.500509
1.203128 1.500502
1.201925 1.500518
1.200723 1.500498
1.199522 1.500468
1.198323 1.500523
1.197125 1.500548
1.195927 1.500498
1.194732 1.500502
1.193537 1.500550
1.192343 1.500555
1.191151 1.500539
1.189960 1.500553
1.188770 1.500536
1.187581 1.500545
1.186393 1.500559
1.185207 1.500564
1.184022 1.500549
1.182838 1.500532
1.181655 1.500544
1.180473 1.500536
1.179293 1.500519
1.178114 1.500532
1.176935 1.500553
1.175759 1.500574
1.174583 1.500558
1.173408 1.500562
1.172235 1.500544
1.171063 1.500555
1.169891 1.500579
1.168722 1.500561
1.167553 1.500552
1.166385 1.500541
1.165219 1.500524
1.164054 1.500515
1.162890 1.500528
1.161727 1.500537
1.160565 1.500538
1.159404 1.500551
1.158245 1.500541
1.157087 1.500509
1.155930 1.500516
1.154774 1.500502
1.153619 1.500550
1.152465 1.500609
1.151313 1.500573
1.150162 1.500575
1.149011 1.500589
1.147862 1.500577
1.146715 1.500549
1.145568 1.500550
1.144422 1.500578
1.143278 1.500554
1.142135 1.500545
1.140992 1.500534
1.139851 1.500525
1.138712 1.500520
1.137573 1.500512
1.136435 1.500485
1.135299 1.500485
1.134164 1.500482
1.133029 1.500491
1.131896 1.500484
1.130765 1.500485
1.129634 1.500530
1.128504 1.500575
1.127376 1.500566
1.126248 1.500551
1.125122 1.500532
1.123997 1.500540
1.122873 1.500550
1.121750 1.500580
1.120628 1.500589
1.119508 1.500573
1.118388 1.500584
1.117270 1.500543
1.116152 1.500503
1.115036 1.500504
1.113921 1.500521
1.112807 1.500526
1.111695 1.500539
1.110583 1.500540
1.109472 1.500480
1.108363 1.500467
1.107254 1.500483
1.106147 1.500504
1.105041 1.500496
1.103936 1.500498
1.102832 1.500500
1.101729 1.500509
1.100627 1.500539
1.099527 1.500550
1.098427 1.500544
1.097329 1.500530
1.096232 1.500485
1.095135 1.500456
1.094040 1.500475
1.092946 1.500497
1.091853 1.500500
1.090761 1.500495
1.089671 1.500491
1.088581 1.500497
1.087492 1.500535
1.086405 1.500535
1.085318 1.500514
1.084233 1.500498
1.083149 1.500516
1.082066 1.500530
1.080984 1.500545
1.079903 1.500542
1.078823 1.500521
1.077744 1.500521
1.076666 1.500546
1.075590 1.500555
1.074514 1.500550
1.073439 1.500541
1.072366 1.500518
1.071294 1.500521
1.070222 1.500540
1.069152 1.500547
1.068083 1.500551
1.067015 1.500518
1.065948 1.500494
1.064882 1.500523
1.063817 1.500546
1.062753 1.500530
1.061690 1.500520
1.060629 1.500503
1.059568 1.500483
1.058509 1.500478
1.057450 1.500500
1.056393 1.500470
1.055336 1.500495
1.054281 1.500538
1.053227 1.500520
1.052173 1.500500
1.051121 1.500525
1.050070 1.500531
1.049020 1.500522
1.047971 1.500525
1.046923 1.500531
1.045876 1.500512
1.044830 1.500502
1.043785 1.500505
1.042742 1.500493
1.041699 1.500494
1.040657 1.500495
1.039617 1.500489
1.038577 1.500488
1.037538 1.500485
1.036501 1.500514
1.035464 1.500532
1.034429 1.500537
1.033394 1.500530
1.032361 1.500485
1.031329 1.500473
1.030297 1.500503
1.029267 1.500487
1.028238 1.500515
1.027210 1.500566
1.026182 1.500574
1.025156 1.500565
1.024131 1.500530
1.023107 1.500484
1.022084 1.500481
1.021062 1.500547
1.020041 1.500612
1.019021 1.500596
1.018002 1.500595
1.016984 1.500589
1.015967 1.500536
1.014951 1.500492
1.013936 1.500464
1.012922 1.500415
1.011909 1.500428
1.010897 1.500450
1.009886 1.500450
1.008876 1.500444
1.007867 1.500457
1.006859 1.500480
1.005852 1.500487
1.004847 1.500496
1.003842 1.500473
1.002838 1.500474
1.001835 1.500499
1.000833 1.500498
0.999832 1.500480
0.998833 1.500473
0.997834 1.500523
0.996836 1.500539
0.995839 1.500506
0.994843 1.500496
0.993848 1.500508
0.992855 1.500485
0.991862 1.500474
0.990870 1.500498
0.989879 1.500507
0.988889 1.500482
0.987900 1.500471
0.986912 1.500501
0.985925 1.500521
0.984939 1.500526
0.983955 1.500514
0.982971 1.500515
0.981988 1.500534
0.981006 1.500537
0.980025 1.500540
0.979045 1.500534
0.978066 1.500537
0.977087 1.500535
0.976110 1.500509
0.975134 1.500478
0.974159 1.500468
0.973185 1.500486
0.972212 1.500511
0.971240 1.500492
0.970268 1.500457
0.969298 1.500451
0.968329 1.500483
0.967360 1.500519
0.966393 1.500544
0.965427 1.500547
0.964461 1.500527
0.963497 1.500483
0.962533 1.500434
0.961571 1.500452
0.960609 1.500498
0.959649 1.500519
0.958689 1.500502
0.957730 1.500461
0.956773 1.500485
0.955816 1.500522
0.954860 1.500519
0.953905 1.500499
0.952951 1.500466
0.951998 1.500468
0.951046 1.500481
0.950095 1.500501
0.949145 1.500512
0.948196 1.500500
0.947248 1.500476
0.946301 1.500483
0.945354 1.500485
0.944409 1.500485
0.943464 1.500465
0.942521 1.500464
0.941578 1.500454
0.940637 1.500447
0.939696 1.500457
0.938757 1.500468
0.937818 1.500490
0.936880 1.500518
0.935943 1.500523
0.935007 1.500497
0.934072 1.500460
0.933138 1.500451
0.932205 1.500475
0.931273 1.500467
0.930341 1.500473
0.929411 1.500527
0.928482 1.500524
0.927553 1.500509
0.926626 1.500509
0.925699 1.500530
0.924773 1.500544
0.923849 1.500537
0.922925 1.500527
0.922002 1.500502
0.921080 1.500482
0.920159 1.500474
0.919239 1.500471
0.918319 1.500460
0.917401 1.500435
0.916484 1.500446
0.915567 1.500451
