T Cv
0.847682 1.501383
0.846834 1.501368
0.845987 1.501275
0.845141 1.501289
0.844296 1.501294
0.843452 1.501266
0.842608 1.501292
0.841766 1.501413
0.840924 1.501353
0.840083 1.501350
0.839243 1.501309
0.838404 1.501466
0.837565 1.501467
0.836728 1.501603
0.835891 1.501656
0.835055 1.501397
0.834220 1.501285
0.833386 1.501414
0.832552 1.501524
0.831720 1.501547
0.830888 1.501607
0.830057 1.501509
0.829227 1.501370
0.828398 1.501334
0.827570 1.501493
0.826742 1.501457
0.825915 1.501418
0.825089 1.501341
0.824264 1.501313
0.823440 1.501275
0.822617 1.501323
0.821794 1.501448
0.820972 1.501319
0.820151 1.501336
0.819331 1.501599
0.818512 1.501434
0.817693 1.501371
0.816875 1.501437
0.816059 1.501261
0.815243 1.501317
0.814427 1.501342
0.813613 1.501313
0.812799 1.501422
0.811986 1.501394
0.811174 1.501355
0.810363 1.501239
0.809553 1.501299
0.808743 1.501253
0.807935 1.501286
0.807127 1.501465
0.806320 1.501419
0.805513 1.501499
0.804708 1.501471
0.803903 1.501318
0.803099 1.501354
0.802296 1.501301
0.801494 1.501265
0.800692 1.501324
0.799892 1.501520
0.799092 1.501362
0.798293 1.501356
0.797494 1.501470
0.796697 1.501486
0.795900 1.501437
0.795104 1.501358
0.794309 1.501320
0.793515 1.501335
0.792721 1.501267
0.791929 1.501286
0.791137 1.501267
0.790345 1.501346
0.789555 1.501323
0.788766 1.501293
0.787977 1.501317
0.787189 1.501433
0.786402 1.501405
0.785615 1.501293
0.784830 1.501487
0.784045 1.501557
0.783261 1.501463
0.782477 1.501520
0.781695 1.501495
0.780913 1.501541
0.780132 1.501436
0.779352 1.501451
0.778573 1.501380
0.777794 1.501367
0.777017 1.501509
0.776240 1.501354
0.775463 1.501330
0.774688 1.501327
0.773913 1.501318
0.773139 1.501450
0.772366 1.501483
0.771594 1.501360
0.770822 1.501317
0.770051 1.501363
0.769281 1.501386
0.768512 1.501501
0.767743 1.501427
0.766976 1.501299
0.766209 1.501297
0.765443 1.501311
0.764677 1.501290
0.763912 1.501348
0.763148 1.501368
0.762385 1.501336
0.761623 1.501171
0.760861 1.501329
0.760100 1.501515
0.759340 1.501469
0.758581 1.501448
0.757822 1.501363
0.757065 1.501291
0.756308 1.501260
0.755551 1.501350
0.754796 1.501409
0.754041 1.501360
0.753287 1.501378
0.752534 1.501450
0.751781 1.501432
0.751029 1.501320
0.750278 1.501272
0.749528 1.501430
0.748778 1.501459
0.748030 1.501512
0.747282 1.501411
0.746534 1.501417
0.745788 1.501416
0.745042 1.501376
0.744297 1.501414
0.743553 1.501492
0.742809 1.501489
0.742066 1.501390
0.741324 1.501421
0.740583 1.501405
0.739842 1.501411
0.739102 1.501425
0.738363 1.501363
0.737625 1.501299
0.736887 1.501274
0.736151 1.501341
0.735414 1.501424
0.734679 1.501288
0.733944 1.501305
0.733210 1.501299
0.732477 1.501301
0.731745 1.501425
0.731013 1.501580
0.730282 1.501652
0.729552 1.501406
0.728822 1.501364
0.728093 1.501292
0.727365 1.501368
0.726638 1.501484
0.725911 1.501421
0.725185 1.501394
0.724460 1.501452
0.723736 1.501399
0.723012 1.501437
0.722289 1.501391
0.721567 1.501277
0.720845 1.501313
0.720124 1.501248
0.719404 1.501305
0.718685 1.501432
0.717966 1.501483
0.717248 1.501477
0.716531 1.501368
0.715814 1.501418
0.715098 1.501247
0.714383 1.501254
0.713669 1.501371
0.712955 1.501514
0.712242 1.501464
0.711530 1.501461
0.710818 1.501438
0.710108 1.501339
0.709398 1.501204
0.708688 1.501364
0.707979 1.501513
0.707271 1.501471
0.706564 1.501328
0.705858 1.501351
0.705152 1.501429
0.704447 1.501395
0.703742 1.501387
0.703038 1.501356
0.702335 1.501370
0.701633 1.501425
0.700931 1.501395
0.700231 1.501409
0.699530 1.501447
0.698831 1.501308
0.698132 1.501359
0.697434 1.501423
0.696736 1.501304
0.696040 1.501361
0.695344 1.501428
0.694648 1.501390
0.693954 1.501363
0.693260 1.501420
0.692566 1.501488
0.691874 1.501506
0.691182 1.501360
0.690491 1.501265
0.689800 1.501384
0.689110 1.501408
0.688421 1.501394
0.687733 1.501273
0.687045 1.501292
0.686358 1.501428
0.685672 1.501361
0.684986 1.501259
0.684301 1.501262
0.683617 1.501444
0.682933 1.501469
0.682250 1.501452
0.681568 1.501318
0.680886 1.501254
0.680206 1.501292
0.679525 1.501226
0.678846 1.501162
0.678167 1.501275
0.677489 1.501420
0.676811 1.501279
0.676135 1.501283
0.675458 1.501389
0.674783 1.501434
0.674108 1.501418
0.673434 1.501579
0.672761 1.501420
0.672088 1.501374
0.671416 1.501344
0.670744 1.501383
0.670074 1.501394
0.669404 1.501389
0.668734 1.501328
0.668065 1.501304
0.667397 1.501428
0.666730 1.501348
0.666063 1.501243
0.665397 1.501381
0.664732 1.501436
0.664067 1.501359
0.663403 1.501387
0.662740 1.501428
0.662077 1.501367
0.661415 1.501311
0.660753 1.501270
0.660093 1.501346
0.659432 1.501413
0.658773 1.501501
0.658114 1.501478
0.657456 1.501393
0.656799 1.501485
0.656142 1.501440
0.655486 1.501541
0.654830 1.501487
0.654175 1.501350
0.653521 1.501245
0.652868 1.501311
0.652215 1.501340
0.651563 1.501252
0.650911 1.501314
0.650260 1.501345
0.649610 1.501375
0.648960 1.501381
0.648311 1.501454
0.647663 1.501621
0.647015 1.501476
0.646368 1.501449
0.645722 1.501433
0.645076 1.501398
0.644431 1.501458
0.643787 1.501483
0.643143 1.501472
0.642500 1.501549
0.641857 1.501495
0.641215 1.501506
0.640574 1.501501
0.639934 1.501365
0.639294 1.501343
0.638654 1.501435
0.638016 1.501475
0.637378 1.501447
0.636740 1.501475
0.636104 1.501451
0.635468 1.501422
0.634832 1.501451
0.634197 1.501411
0.633563 1.501384
0.632930 1.501529
0.632297 1.501547
0.631664 1.501456
0.631033 1.501339
0.630402 1.501439
0.629771 1.501496
0.629141 1.501386
0.628512 1.501374
0.627884 1.501382
0.627256 1.501302
0.626629 1.501422
0.626002 1.501480
0.625376 1.501500
0.624751 1.501504
0.624126 1.501492
0.623502 1.501501
0.622878 1.501584
0.622255 1.501400
0.621633 1.501335
0.621011 1.501426
0.620390 1.501432
0.619770 1.501359
0.619150 1.501409
0.618531 1.501294
0.617913 1.501335
