T Cv
1.146715 1.500618
1.145568 1.500609
1.144422 1.500611
1.143278 1.500594
1.142135 1.500582
1.140992 1.500568
1.139851 1.500563
1.138712 1.500525
1.137573 1.500510
1.136435 1.500537
1.135299 1.500550
1.134164 1.500560
1.133029 1.500588
1.131896 1.500581
1.130765 1.500568
1.129634 1.500603
1.128504 1.500607
1.127376 1.500593
1.126248 1.500586
1.125122 1.500589
1.123997 1.500587
1.122873 1.500610
1.121750 1.500662
1.120628 1.500682
1.119508 1.500662
1.118388 1.500667
1.117270 1.500683
1.116152 1.500680
1.115036 1.500661
1.113921 1.500659
1.112807 1.500678
1.111695 1.500639
1.110583 1.500625
1.109472 1.500625
1.108363 1.500624
1.107254 1.500616
1.106147 1.500603
1.105041 1.500624
1.103936 1.500648
1.102832 1.500623
1.101729 1.500601
1.100627 1.500579
1.099527 1.500569
1.098427 1.500576
1.097329 1.500595
1.096232 1.500632
1.095135 1.500630
1.094040 1.500626
1.092946 1.500670
1.091853 1.500685
1.090761 1.500704
1.089671 1.500718
1.088581 1.500695
1.087492 1.500644
1.086405 1.500625
1.085318 1.500648
1.084233 1.500684
1.083149 1.500703
1.082066 1.500679
1.080984 1.500649
1.079903 1.500637
1.078823 1.500620
1.077744 1.500646
1.076666 1.500642
1.075590 1.500615
1.074514 1.500644
1.073439 1.500691
1.072366 1.500681
1.071294 1.500671
1.070222 1.500695
1.069152 1.500675
1.068083 1.500655
1.067015 1.500668
1.065948 1.500654
1.064882 1.500638
1.063817 1.500636
1.062753 1.500699
1.061690 1.500694
1.060629 1.500661
1.059568 1.500670
1.058509 1.500690
1.057450 1.500680
1.056393 1.500676
1.055336 1.500670
1.054281 1.500637
1.053227 1.500686
1.052173 1.500723
1.051121 1.500690
1.050070 1.500666
1.049020 1.500682
1.047971 1.500687
1.046923 1.500673
1.045876 1.500664
1.044830 1.500652
1.043785 1.500647
1.042742 1.500655
1.041699 1.500647
1.040657 1.500681
1.039617 1.500725
1.038577 1.500699
1.037538 1.500713
1.036501 1.500700
1.035464 1.500654
1.034429 1.500658
1.033394 1.500666
1.032361 1.500646
1.031329 1.500640
1.030297 1.500635
1.029267 1.500661
1.028238 1.500647
1.027210 1.500656
1.026182 1.500666
1.025156 1.500652
1.024131 1.500671
1.023107 1.500701
1.022084 1.500747
1.021062 1.500745
1.020041 1.500720
1.019021 1.500684
1.018002 1.500652
1.016984 1.500670
1.015967 1.500668
1.014951 1.500658
1.013936 1.500655
1.012922 1.500676
