pasos x w correlacion
742 0.163732 1.006906 1.024048
743 0.176669 0.997801 1.002996
744 0.275692 0.977852 0.984378
745 0.249388 1.006930 0.966904
746 0.226362 1.005492 0.967988
747 0.301910 0.980243 1.004103
748 0.280587 1.006230 0.975608
749 0.282415 0.999486 1.009732
750 0.304074 0.993669 0.947451
751 0.220804 1.022094 1.028786
752 0.162389 1.011255 1.026709
753 0.125843 1.005281 0.987823
754 0.151671 0.996423 0.951587
755 0.067534 1.009264 0.965001
756 -0.003900 1.002275 0.978888
757 0.061095 0.998143 1.006182
758 0.159978 0.989129 0.977156
759 0.081445 1.009525 0.980188
760 0.034364 1.002730 1.011600
761 0.049614 0.999360 0.994046
762 -0.028883 1.000814 0.994593
763 -0.054997 0.998905 1.015304
764 -0.050655 1.000229 1.065081
765 -0.090130 0.997225 1.037320
766 -0.128007 0.995877 1.012513
767 -0.075060 1.005390 1.044583
768 -0.097238 0.998091 1.030104
769 -0.052403 1.003360 1.003587
770 -0.134123 0.992408 0.984058
771 -0.083508 1.005523 0.983704
772 -0.055947 1.001924 0.967158
773 -0.060942 0.999708 1.030551
774 -0.077883 0.998825 0.962487
775 -0.109259 0.997068 0.943663
776 -0.163396 0.992647 0.947372
777 -0.232542 0.986405 1.008342
778 -0.296084 0.983345 0.969937
779 -0.354897 0.981039 1.031863
780 -0.387841 0.987840 1.013027
781 -0.387460 1.000148 0.970493
782 -0.325608 1.022297 0.940601
783 -0.243010 1.023761 1.016600
784 -0.246626 0.999115 1.030033
785 -0.206778 1.009075 0.989317
786 -0.119437 1.014348 0.963688
787 -0.159529 0.994423 0.961140
788 -0.095602 1.008188 1.061392
789 -0.036589 1.003908 1.035507
790 -0.084396 0.997112 0.937452
791 0.006198 1.003548 0.997079
792 0.009687 0.999972 0.931493
793 -0.039079 0.999284 0.996724
794 -0.040828 0.999930 1.011241
795 0.024369 1.000537 1.073161
796 -0.019105 1.000114 1.068291
797 0.009549 1.000137 1.021137
798 -0.004144 1.000037 0.971725
799 0.090851 0.995890 1.015602
800 -0.008112 1.004102 0.974216
801 -0.025779 0.999701 1.045011
802 -0.088247 0.996445 0.983656
803 -0.103619 0.998526 0.993615
804 -0.098135 1.000553 0.993336
805 -0.030699 1.004354 0.927849
806 -0.030799 0.999997 0.920316
