pasos x w correlacion
549 0.983245 0.892894 1.065727
550 0.983245 0.791476 1.003455
551 0.828669 1.150319 0.917581
552 0.828669 0.599561 0.463005
553 0.861721 0.972452 1.578298
554 -0.124302 1.438435 1.579455
555 -0.456557 0.908013 0.900679
556 -0.532029 0.963382 0.696387
557 -0.532029 0.413800 0.857212
558 -0.532029 0.383223 1.568619
559 0.406140 1.060831 1.017565
560 0.818903 0.776603 0.997406
561 1.463607 0.479136 1.046494
562 1.658040 0.738247 0.970871
563 1.658040 0.251956 0.758720
564 1.658040 0.388256 1.038817
565 0.687033 3.122211 1.176207
566 0.940001 0.814001 1.015715
567 0.707236 1.211318 1.097407
568 0.284890 1.233074 0.664216
569 1.052644 0.598428 1.513095
570 1.052644 0.277760 0.933314
571 1.118900 0.930588 0.881800
572 2.067385 0.220673 0.742959
573 1.942228 1.285200 0.676636
574 1.608142 1.809526 0.594360
575 1.605243 1.004669 1.146656
576 0.683248 2.871942 1.433050
577 0.149327 1.248902 0.897288
578 0.149327 0.693581 1.207527
579 0.149327 0.945370 0.529288
580 -0.697775 0.792712 1.856592
581 -1.087161 0.706442 0.959742
582 -1.087161 0.282007 1.064440
583 -1.087161 0.605197 0.775037
584 -0.221381 1.762009 0.436445
585 -0.788934 0.750734 1.263344
586 -0.667501 1.092457 0.835711
587 -0.667501 0.632174 1.170477
588 -0.213233 1.221457 0.773753
589 -0.213233 0.771582 0.662069
590 -0.319651 0.972044 0.600780
591 -0.170995 1.037142 1.926583
592 0.819483 0.725310 1.118651
593 1.057863 0.799506 0.971268
594 0.397534 1.616916 1.007383
595 -0.139500 1.071743 0.433421
596 0.780114 0.744860 0.962483
597 -0.060640 1.353171 1.109728
598 -0.501175 0.883601 0.642211
599 -0.520066 0.990400 0.476423
600 0.329356 1.084367 0.479796
601 -0.086337 1.051808 0.379728
602 -0.283029 0.964326 1.103338
603 -0.186316 1.022955 0.290972
604 0.402539 0.938322 2.556737
605 0.588244 0.912108 1.112813
606 0.224372 1.159332 1.045268
607 -0.239784 0.996430 0.630294
608 0.197760 1.009236 0.233758
609 0.747551 0.771158 0.761872
610 0.099368 1.315845 1.153894
611 -0.817377 0.719560 1.775206
612 -0.092776 1.390619 0.989108
613 -1.063845 0.570308 0.982395
614 -0.426771 1.607719 1.002413
615 0.132542 1.085763 1.040334
616 -0.269967 0.972722 0.992001
617 0.573046 0.880073 1.004934
618 0.058290 1.176439 0.746180
619 -0.895688 0.670703 0.861522
620 -1.833918 0.277898 1.114311
621 -1.403272 2.007806 0.771045
622 -1.403272 0.332487 0.381495
623 -2.039064 0.334772 1.342384
624 -2.039064 0.172663 0.866563
625 -1.987823 1.108680 1.129866
626 -1.374371 2.804634 0.875989
627 -0.574633 2.180045 1.109911
628 -1.516160 0.373713 1.063946
629 -0.880001 2.142919 0.797784
630 -0.738609 1.121234 0.746951
631 -0.658742 1.057387 0.817357
632 0.082766 1.238060 1.324524
633 0.082766 0.624841 0.731966
634 -0.610767 0.832691 0.886175
635 -0.010254 1.204983 1.494638
636 -0.010254 0.687799 0.614737
637 -0.010254 0.817677 0.536966
638 0.087313 0.996248 1.344520
639 -0.010804 1.003761 1.244904
640 0.888119 0.674139 0.905391
641 0.888119 0.601046 1.044807
642 0.432875 1.350787 1.071060
643 -0.171239 1.082235 1.000071
644 -0.196539 0.995358 0.929932
645 -0.736686 0.777214 0.809327
646 -0.353099 1.232462 1.311533
647 -0.010834 1.064261 0.839499
648 -0.010834 0.866344 0.582961
649 -0.539201 0.864754 1.709599
650 -0.570482 0.982793 0.989838
651 -0.495499 1.040775 0.533644
652 -0.822443 0.806181 0.633335
653 -1.483993 0.466307 1.331949
654 -2.045442 0.371280 0.993627
655 -1.566088 2.376434 1.196757
656 -1.265206 1.531033 0.972779
657 -1.265206 0.502837 0.951423
658 -1.265206 0.227265 0.871087
659 -0.547075 1.916935 1.263352
660 -1.458327 0.401032 0.948953
661 -1.458327 0.156139 1.020015
662 -1.221290 1.373805 0.923265
663 -1.013184 1.261755 1.122428
664 -0.458449 1.504083 0.987004
665 -0.064974 1.108466 1.002855
666 0.671041 0.800085 1.000968
667 0.518052 1.095224 0.778647
668 -0.439100 1.038507 1.180583
669 -1.354808 0.439838 0.861698
670 -1.354808 0.481099 1.081681
671 -1.865108 0.439744 0.811329
672 -1.852199 1.024284 0.838772
673 -1.852199 0.141256 1.186635
674 -0.941130 3.569615 0.876881
675 -0.941130 0.698552 0.514217
676 -1.362072 0.615847 0.762099
677 -0.376659 2.355336 0.308936
678 -1.238838 0.498365 2.005813
679 -1.637013 0.564087 0.853659
680 -1.337779 1.560614 1.364991
681 -1.812250 0.473644 0.988039
682 -2.377178 0.306247 0.997111
683 -2.377178 0.176099 1.008928
684 -2.377178 0.113273 0.763210
685 -1.859493 2.994064 0.947120
686 -1.859493 0.130317 0.545599
687 -1.470901 1.909960 0.881197
688 -1.335734 1.208864 1.199725
689 -1.335734 0.230028 0.711807
690 -0.336406 2.305986 1.116227
691 -0.098697 1.053074 1.214591
692 0.087558 1.001038 1.010753
693 1.045320 0.581285 0.605464
694 0.129917 1.712420 0.359848
695 -0.359813 0.945262 1.536673
696 0.230079 1.039006 1.102106
697 1.030183 0.604007 0.946844
698 1.485305 0.564154 0.603105
699 0.591205 2.530216 0.353732
700 0.299173 1.138839 2.165221
701 0.635395 0.854609 0.178574
702 0.082675 1.219506 2.077233
703 -0.223395 0.978695 1.057434
704 0.106845 1.019431 1.032881
705 -0.328440 0.952916 0.789859
706 -0.264443 1.019153 0.662538
707 -0.824488 0.737178 0.323510
708 -1.611042 0.383722 0.299721
709 -0.923429 2.390176 3.172027
710 -0.285134 1.470658 0.869016
711 -0.302438 0.994929 1.685739
712 0.568224 0.890738 1.067216
713 0.779870 0.867049 1.030053
714 0.779870 0.422065 0.638044
715 0.779870 0.480556 1.567485
716 0.389630 1.256328 0.856902
717 -0.310129 1.028206 0.675184
